Tema;Candidato;Declaración más reciente;Fecha;Fuente (link);Declaración anterior contradictoria;Fecha;Fuente (link);Plan de gobierno
Salida de la CIDH / Pena de muerte;Keiko Fujimori;"""Yo creo que para derrotar al terrorismo no se necesitó la pena de muerte, y creo que ahora tampoco. Lo que sí creo es que vamos a tener que salir del Pacto de San José por dos razones: Una, porque creo que hay que implementar temporalmente los jueces sin rostro. Porque hoy el temor y el miedo no solamente están en la calle, en los transportistas, en los bodegueros. Sino también en el sistema de justicia. Yo creo que parte de esta sensación de impunidad es también por el miedo que tienen los jueces, y por eso tenemos que volver a poner temporalmente el sistema jueces sin rostro, para eso tenemos que salir del pacto. Y lo segundo que tenemos que implementar es que los internos tienen que trabajar por sus alimentos de calidad"". min 48";9/04/2026;https://www.youtube.com/watch?v=wLjS-EhR6-M;"""Estaría de acuerdo en la pena de muerte para violadores de niños menores de 7 años"".";9/02/2016;https://www.youtube.com/watch?v=Al6aRTvH-ec;"""Implementación de un régimen de trabajo penitenciario, que vincule la participación en
actividades productivas al otorgamiento de incentivos, tal como el acceso a condiciones
de la alimentación""."
Salida de la CIDH / Pena de muerte;Roberto Sánchez;«No estamos de acuerdo con denunciar al Pacto de San José, de ninguna manera (...) Queremos paz social con justicia, mano firme con el debido proceso, los derechos humanos no son un aspecto secundario»;30/04/2026;https://www.swissinfo.ch/spa/roberto-s%C3%A1nchez-afirma-que-mantendr%C3%A1-a-per%C3%BA-en-la-corte-idh-y-no-aplicar%C3%A1-pena-de-muerte/91345326;;;;Sin mención
Salida de la CIDH / Pena de muerte;Roberto Sánchez;"""Yo soy un provida, no puedo estar de acuerdo con la pena de muerte""";27/04/2026;https://www.youtube.com/watch?v=kaIb13yIlkQ;;;;Sin mención
Petro Perú;Keiko Fujimori;"""Petro-Perú se convertirá en una asociación público privada (APP). El Estado, por supuesto, seguirá participando; pero haremos que el sector privado integre, participe, porque esto dará mayor transparencia y será mucho más eficiente.""";19/03/2026;https://canaln.pe/actualidad/keiko-fujimori-propone-asociacion-publico-privada-petroperu-y-cuestiona-aporte-estatal-n491005;"""En lo que relaciona a Petro-Perú. Es importante hacer una reforma profunda en donde se pida transparencia. Creemos que una fórmula de alianza público-privada, el sector público continuará dirigiendo Petro-Perú; pero la presencia de inversionistas privados y de otros organismos permitirá hacer una reforma y enfocar a esta empresa en los sectores que más convienen a nuestro país, me refiero al refinamiento y la distribución, mas no a la exploración y otros aspectos que han llevado a un gasto excesivo.""";30/01/2026;https://www.facebook.com/canalnoficial/videos/keiko-fujimori-candidata-presidencial-de-fuerza-popular-dijo-que-es-importante-u/1448221170356046/;"""Optimización de la operación de Petroperú: la empresa estatal se concentrará exclusivamente en las actividades de refinamiento y distribución, garantizando sostenibilidad financiera, eficiencia operativa y transparencia en la Refinería de Talara. La gestión de la venta de activos no estratégicos de Petroperú para reducir pasivos, mejorar su flujo de caja y redireccionar recursos en las operaciones de mayor rentabilidad y valor público"""
Petro Perú;Roberto Sánchez;"""¡No a la privatización de Petro-Perú!. Una política económica nacional responsable no puede ""rematar"" uno de los activos más importantes para el desarrollo estratégico del Perú. El mercantilismo neoliberal aliado de la derecha empresarial es incapaz de pensar en los 34 millones de peruanos y en su bienestar estratégico. ¡Petro-Perú no se vende! ¡Petro-Perú se defiende!""";1/01/2026;https://x.com/RobertoSanchP/status/2006926040216522914;"""¡Petro-Perú no se vende!. Como peruano y patriota comprometido con el país, lo digo con total claridad: un gobierno sin legitimidad no tiene derecho a decidir el futuro de nuestro patrimonio energético.""";3/01/2026;https://www.facebook.com/RobertoSanchez.Oficial/photos/petroper%C3%BA-no-se-vendecomo-peruano-y-patriota-comprometido-con-el-pa%C3%ADs-lo-digo-co/1543207091140103/;"""Estarán prohibidas las concesiones que otorguen ventajas especiales a inversionistas extranjeros, que pongan en riesgo la soberanía territorial y nuestra matriz energética, que coloquen en desventaja al empresariado nacional o que vayan contra el interés público."""
Minería / Reinfo;Keiko Fujimori;;;;;;;
Minería / Reinfo;Roberto Sánchez;;;;;;;
Nueva Constitución / cambio de modelo económico;Keiko Fujimori;La constitución de 1993 le dio autonomía a varias instituciones políticas de nuestro país, entre ellas al BCR, lo que ha permitido que nuestra moneda se convierta en una de las más sólidas y líderes en América Latina. Logró el mayor crecimiento económico de nuestra historia. Logró reducir la pobreza, pasamos del 55% en 1990 a aproximadamente 20% en el 2018.;30/01/2024;https://www.tiktok.com/@keikofujimorih/video/7329919466064661765;"""Fuerza Popular va a seguir defendiendo la constitución de 1993""";5/08/2023;https://www.youtube.com/watch?v=DEBn8RyXpW8;Con liderazgo, eficiencia y resultados, el objetivo es claro: alcanzar un Perú con fuerza, donde el orden sea el punto de partida para vivir con dignidad, trabajar con libertad, emprender con esperanza e invertir con confianza
Nueva Constitución / cambio de modelo económico;Roberto Sánchez;"""Haremos un nuevo pacto social, una asamblea constituyente, una nueva constitución que marque el inicio de la nueva peruanidad del siglo XXI""";28/03/2026;https://www.facebook.com/reel/1267618274777130;"""Es importante un nuevo cominezo patriótico y de soberanía con una nueva constitución. Nuestra constitución, que ha convertido todo en negocio, hoy es un mounstruo porque han hecho una asamblea constituyente a puertas cerradas quitando el derecho de referéndum al pueblo""";22/03/2026;https://www.youtube.com/watch?v=h_A7atnJYSY&t=817s;La razón fundamental por la que debe hacerse una reforma sustancial de la Constitución es recuperar la soberanía nacional sobre los recursos naturales que pertenecen a las poblaciones que integran la nación peruana.
Control fronterizo / inmigración extranjera;Keiko Fujimori;"""Nosotros hemos planteado […] retomar el control de las fronteras. Hoy hay un solo patrullero en la frontera con Ecuador. Vamos a comprar 1.000 patrulleros inmediatamente, pidiendo facultades. Participarán las Fuerzas Armadas junto con la Policía Nacional en este control de fronteras. Expulsaremos a los ciudadanos indocumentados"".";11/04/2026;https://www.youtube.com/watch?v=CYc9A-Q2J_g;;;;"""Refuerzo del patrullaje en zonas críticas mediante la reorientación del 24x24, priorizando
presencia policial efectiva en provincias y fronteras, mediante análisis geoespacial del
delito""."
